Milli_scnd| P_Id | Status | 
0   |   9  |  Arrived   | 
  0   |   9  |  Running   | 
  0   |   9  |  Running   | 
  1   |   9  |  Running   | 
  2   |   9  |  Running   | 
  3   |   9  |  Running   | 
  4   |   9  |  Running   | 
  5   |   9  |  Running   | 
  6   |   1  |  Arrived   | 
  6   |   3  |  Arrived   | 
  6  |    9  |    Exit   | 
  6   |   9  |  Arrived   | 
  6   |   3  |  Running   | 
  7   |   3  |  Running   | 
  8   |   3  |  Running   | 
  9   |   10  |  Arrived   | 
  9   |   3  |  Running   | 
  10   |   3  |  Running   | 
  11   |   8  |  Arrived   | 
  11   |   3  |  Running   | 
  12   |   5  |  Arrived   | 
  12   |   3  |  Running   | 
  13   |   15  |  Arrived   | 
  13   |   3  |  Running   | 
  14   |   3  |  Running   | 
  15   |   18  |  Arrived   | 
  15   |   3  |  Running   | 
  16   |   3  |  Running   | 
  17   |   3  |  Running   | 
  18   |   3  |  Running   | 
  19   |   3  |  Running   | 
  20   |   3  |  Running   | 
  21   |   4  |  Arrived   | 
  21   |   14  |  Arrived   | 
  21   |   3  |  Running   | 
  22   |   11  |  Arrived   | 
  22   |   3  |  Running   | 
  23   |   3  |  Running   | 
  24   |   3  |  Running   | 
  25   |   7  |  Arrived   | 
  25   |   3  |  Running   | 
  26   |   3  |  Exit   | 
  26   |   5  |  Running   | 
  27   |   5  |  Running   | 
  28   |   5  |  Running   | 
  29   |   2  |  Arrived   | 
  29   |   5  |  Running   | 
  30   |   5  |  Running   | 
  31   |   17  |  Arrived   | 
  31   |   5  |  Running   | 
  32   |   0  |  Arrived   | 
  32   |   5  |  Running   | 
  33   |   5  |  Running   | 
  34   |   5  |  Running   | 
  35   |   6  |  Arrived   | 
  35   |   5  |  Running   | 
  36   |   5  |  Running   | 
  37   |   5  |  Running   | 
  38   |   5  |  Running   | 
  39   |   5  |  Running   | 
  40   |   5  |  Running   | 
  41   |   5  |  Exit   | 
  41   |   0  |  Running   | 
  42   |   0  |  Running   | 
  43   |   0  |  Running   | 
  44   |   0  |  Running   | 
  45   |   13  |  Arrived   | 
  45  |    0  |    Exit   | 
  45   |   0  |  Arrived   | 
  45   |   13  |  Running   | 
  46   |   13  |  Running   | 
  47   |   19  |  Arrived   | 
  47   |   13  |  Running   | 
  48   |   12  |  Arrived   | 
  48   |   13  |  Running   | 
  49   |   16  |  Arrived   | 
  49   |   13  |  Running   | 
  50   |   13  |  Running   | 
  51   |   13  |  Running   | 
  52   |   13  |  Running   | 
  53   |   13  |  Running   | 
  54   |   13  |  Running   | 
  55   |   13  |  Running   | 
  56   |   13  |  Running   | 
  57   |   13  |  Running   | 
  58   |   13  |  Exit   | 
  58   |   0  |  Running   | 
  59   |   0  |  Running   | 
  60   |   0  |  Running   | 
  61   |   0  |  Running   | 
  62   |   0  |  Running   | 
  63   |   0  |  Running   | 
  64   |   0  |  Running   | 
  65   |   0  |  Running   | 
  66   |   0  |  Running   | 
  67   |   0  |  Running   | 
  68   |   0  |  Running   | 
  69   |   0  |  Running   | 
  70   |   0  |  Running   | 
  71   |   0  |  Running   | 
  72   |   0  |  Exit   | 
  72   |   17  |  Running   | 
  73   |   17  |  Running   | 
  74   |   17  |  Running   | 
  75   |   17  |  Running   | 
  76   |   17  |  Running   | 
  77   |   17  |  Running   | 
  78   |   17  |  Running   | 
  79   |   17  |  Running   | 
  80   |   17  |  Running   | 
  81   |   17  |  Running   | 
